"ds_nome","ds_codigo","venues","venues_color","railway","railway_color","bus","bus_color","parking","parking_color","topography","topography_color","final_score","final_score_color"
"AGUA RASA",1,9.39306358381032,"#40AA6D",0.833856144919765,"#D55743",6.56617616732653,"#B9C464",7.1492485594,"#A0BF66",7.75447570823007,"#86B968",7.33243319419639,"#98BD66"
"ALTO DE PINHEIROS",2,8.23357124907761,"#71B569",2.5675548313092,"#E68B4E",5.88264733900526,"#D7CA62",7.05109681352,"#A4C065",8.40762068799374,"#6AB36A",7.26943053278317,"#9BBE66"
"ANHANGUERA",3,NA,"#636466",0.00000755587647854384,"#CE3F3E",2.23137360692801,"#E2814C",0,"#CE3F3E",1.84007332130285,"#DF754A",NA,"#636466"
"ARICANDUVA",4,8.10051380860008,"#77B669",0.0000000000000628622800647,"#CE3F3E",7.60462287525864,"#8CBB67",0,"#CE3F3E",7.98929639844977,"#7CB769",6.20822816626758,"#C9C763"
"ARTUR ALVIM",5,3.81262042389231,"#F1AF57",3.28861888735359,"#ECA053",7.40091946118547,"#95BC67",0,"#CE3F3E",7.40221837500063,"#95BC67",4.92600608280199,"#FCD05E"
"BARRA FUNDA",6,8.68754915915972,"#5EB16B",4.12116620024593,"#F4B859",7.45146678294888,"#93BC67",7.83907708821,"#82B868",9.68991501584375,"#33A76E",8.28267806626836,"#6FB46A"
"BELA VISTA",7,8.67759777574859,"#5EB16B",6.88644432420725,"#ABC165",8.86332478503658,"#56AF6C",9.26657422339,"#45AB6D",7.13901167763307,"#A1BF66",8.0517968547532,"#79B669"
"BELEM",8,8.81535003208956,"#58AF6B",3.0432245809062,"#EA9952",7.83837545787211,"#82B868",8.36919440506,"#6CB46A",9.68315906106169,"#33A76E",8.30514685814356,"#6EB46A"
"BOM RETIRO",9,6.20290087774714,"#C9C763",5.6605176965441,"#E0CC61",7.3120316893891,"#99BD66",9.48810335779,"#3CA96E",9.86762752710367,"#2BA66F",7.85247088425285,"#82B868"
"BRAS",10,8.77999649675576,"#5AB06B",7.06000352580571,"#A4C066",8.2026043650774,"#73B569",9.8724214679,"#2BA66F",10,"#26A570",9.05277987211671,"#4EAD6C"
"BRASILANDIA",11,3.5484906871952,"#EFA855",0.000000000269796524398423,"#CE3F3E",5.57456148140194,"#E4CD60",0,"#CE3F3E",1.07523775866778,"#D85E45",2.16063853547341,"#E27E4C"
"BUTANTA",12,7.10223623518737,"#A2BF66",1.91345507844237,"#DF774A",6.41958646855144,"#BFC563",6.64701304162,"#B6C364",7.79814815579736,"#84B968",6.63124530684089,"#B6C364"
"CACHOEIRINHA",13,NA,"#636466",0,"#CE3F3E",6.3567996438897,"#C2C663",6.240788825,"#C7C763",3.05676913321527,"#EA9952",NA,"#636466"
"CAMBUCI",14,5.44797687859512,"#E9CE60",2.2715995081186,"#E3824C",7.65720211519435,"#8ABA68",8.22146636902,"#72B569",8.85895633621178,"#57AF6C",6.78567418186151,"#B0C265"
"CAMPO BELO",15,6.75894704915433,"#B1C264",0.0305185750166223,"#CE3F3E",7.51454230630721,"#90BB67",7.54231811256,"#8FBB67",8.42751273483384,"#69B36A",6.73852870509426,"#B2C364"
"CAMPO GRANDE",16,9.09137004360674,"#4DAD6C",1.09230701017178,"#D85F45",6.80458930796315,"#AFC265",0,"#CE3F3E",8.29408560039022,"#6FB46A",6.67258480556953,"#B5C364"
"CAMPO LIMPO",17,7.37913820283822,"#96BD67",1.43337382926136,"#DB6947",6.6516385588225,"#B5C364",6.91329256657,"#AAC165",5.2280006402381,"#F3D05F",5.86885794265365,"#D7CB61"
"CANGAIBA",18,1.01156069362586,"#D75C44",1.73643364037623,"#DE7249",5.47807060502012,"#E8CE60",6.20453617411,"#C9C763",8.23646577033252,"#71B56A",4.57367997904239,"#F8C65C"
"CAPAO REDONDO",19,6.31154998929404,"#C4C663",1.54132948691838,"#DC6C48",6.86947080739994,"#ACC165",6.52455588833,"#BBC464",5.18847688036915,"#F4D15F",5.49282631018199,"#E7CE60"
"CARRAO",20,10,"#26A570",0.239186004575235,"#D0463F",6.89906066490786,"#ABC165",5.32282806549,"#EFD060",8.52610791353327,"#65B26A",7.55993316395254,"#8EBB67"
"CASA VERDE",21,6.42019910080554,"#BFC563",0.00600822935994545,"#CE3F3E",6.6526269887856,"#B5C364",5.89838480313,"#D6CA62",7.28724143195823,"#9ABD66",5.96437129106298,"#D3CA62"
"CIDADE ADEMAR",22,5.89474951828489,"#D6CA62",0.000000000692088558587633,"#CE3F3E",6.65847966639157,"#B5C364",6.17410410348,"#CAC862",5.8003429112716,"#DACB61",5.32420678435923,"#EFD060"
"CIDADE DUTRA",23,5.11338372610253,"#F8D15F",1.55984680086376,"#DC6D48",6.11332419360739,"#CDC862",6.27459815988,"#C6C763",7.40582400178715,"#95BC67",5.72282137089113,"#DDCC61"
"CIDADE LIDER",24,7.65093127807217,"#8BBA68",0.0249055365030439,"#CE3F3E",6.64873074861819,"#B6C364",0,"#CE3F3E",5.45054593471024,"#E9CE60",5.10867421371872,"#F8D15F"
"CIDADE TIRADENTES",25,5.51541425817961,"#E6CE60",0.00000125668777825463,"#CE3F3E",5.87387093173868,"#D7CA61",0,"#CE3F3E",3.72777679824496,"#F1AD56",3.73371615085557,"#F1AD56"
"CONSOLACAO",26,7.16745443961002,"#9FBF66",5.05114653209416,"#FAD25F",7.79193380376985,"#84B968",9.69909949329,"#32A76E",7.73263624808655,"#87B968",7.47138354358264,"#92BC67"
